VD,CONT_PREC,OCORRENCIA,CONT_SEGUINTE,ITEM_LEXICAL,TRANSC_FONOLOGICA_SILAC,CONT_FON_PREC,CFP_abertura,CFP_anterioridade,CFP_tracoposicao1,CFP_tracoposicao2,CONT_FON_SEG,CFS_pontoc,CFS_sonor,TONICIDADE,POSICAO_S,CLASSE_MORFOLOGICA,CLASSE_MORFOLOGICA2,CLASSE_MORFOLOGICA3,MORFEMA.PLURAL,MORFEMA.PLURAL2,MUDANCA.SENTIDO,ESTILO,ARQUIVO,ANO.ENTREVISTA,LOCALIZACAO,PARTICIPANTE
P,gente | S tem que se,acostumar <P>,com o ritmo daqui né,acostumar,a-ko$-tu-'mar,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2018MB-_RicardoR,2018,00:23:21.393,RicardoR
A,<A> até que eles <A> se,acostumaram <A>,comigo sabe | D1 aham,acostumaram,a-ko$-tu-'ma-RA,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,PBCP_2017FB+_RoselinaM,2017,00:23:26.612,RoselinaM
P,não? | S gosto <P> eu,acostumei <P>,| S foi a primeira,acostumei,a-ko$-tu-'mej,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2017FB-_LucimaraF,2017,00:23:29.883,LucimaraF
P,que (gosto) <P> que eu já,acostumei <P>,| S se eu chegar,acostumei,a-ko$-tu-'mej,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2017MA-_WellingtonF,2017,00:23:29.883,WellingtonF
A,D1 você acostumou? | S eu,acostumei <A>,eu tenho meu trabalho aqui,acostumei,a-ko$-tu-'mej,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,PBCP_2018FA+_PenelopeM,2018,00:23:32.673,PenelopeM
P,não falo do jeito porque eu,acostumei <P>,| S então | S,acostumei,a-ko$-tu-'mej,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,PBCP_2018MA-_JonasP,2018,00:23:37.271,JonasP
A,você querendo ou não você já,acostumou <A>,aqui | S aí você,acostumou,a-ko$-tu-'mow,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2018MA-_FabianoJ,2018,00:23:46.797,FabianoJ
A,o costume <P> já | S,acostumou <A>,leva pra vida | D1,acostumou,a-ko$-tu-'mow,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2018MA-_FabianoJ,2018,00:24:03.084,FabianoJ
P,uhum | S porque a gente,acostumou <P>,chamar | S senhor e,acostumou,a-ko$-tu-'mow,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,PBCP_2018FB-_RosemaraA,2018,00:24:14.500,RosemaraA
P,que domina assim | S que,administra <P>,a cidade | S (ou),administra,a-di-mi-'ni$-tRa,i,fechada,anterior,mais.anterior,menos.posterior,t,coronal,surda,tonica,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2018FB-_YasminS,2018,00:24:21.494,YasminS
A,"| S ""uma faculdade de de","administração"" <A>","| S ""ou contabilidade alguma",administração,a-di-mi-ni$-tRa-'sAw,i,fechada,anterior,mais.anterior,menos.posterior,t,coronal,surda,atona,medial,substantivo,substantivo,lexical,nao,nao,nao,conversa,PBCP_2017FA+_GiovanaC,2017,00:24:33.451,GiovanaC
A,{A.} a caçula é formada em,administração <A>,| D1 uhum | S,administração,a-di-mi-ni$-tRa-'sAw,i,fechada,anterior,mais.anterior,menos.posterior,t,coronal,surda,atona,medial,substantivo,substantivo,lexical,nao,nao,nao,conversa,PBCP_2018FB-_RosemaraA,2018,00:24:46.702,RosemaraA
