VD,CONT_PREC,OCORRENCIA,CONT_SEGUINTE,ITEM_LEXICAL,TRANSC_FONOLOGICA_SILAC,CONT_FON_PREC,CONT_FON_SEG,TONICIDADE,POSICAO_S,CLASSE_MORFOLOGICA,CLASSE_MORFOLOGICA2,CLASSE_MORFOLOGICA3,STATUS_MORFOLOGICO,MORFEMA.PLURAL,ARQUIVO,ANO.ENTREVISTA,LOCALIZACAO,PARTICIPANTE
A, S , antes <A> , de entrar na unicamp eu ,antes,'A-tes,e,d,atona,final,adverbio,adverbio,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:00.465,VeraS
P, eu pensava será que S ter , estudado <P> , numa instituição <P> privada impacta ,estudado,es-tu-'da-do,e,t,atona,medial,adjetivo,adjetivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:03.137,VeraS
P, que S ter estudado <P> numa , instituição <P> , privada impacta S que as ,instituição,Is-ti-tuj-'sAw,I,t,atona,medial,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:03.137,VeraS
A, instituição <P> privada impacta S que , as <A> , pessoas às <A> vezes <0> ,as,as,a,p,atona,final,artigo,artigo,gramatical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:20:06.416,VeraS
A, impacta S que as <A> pessoas , às <A> , vezes <0> também tipo a ,às,'as,a,v,tonica,final,prepArtigo,artigo,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:06.416,VeraS
0, que as <A> pessoas às <A> , vezes <0> , também tipo a S porque ,vezes,'ve-zes,e,t,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:20:06.416,VeraS
P, tipo a S porque é uma , instituição <P> , paga e tudo mais <A> ,instituição,Is-ti-tuj-'sAw,I,t,atona,medial,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:08.332,VeraS
A, uma instituição <P> paga e tudo , mais <A> , parece que S tipo S ,mais,'majs,j,p,tonica,final,adverbio,adverbio,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:08.332,VeraS
A, S tipo S num sei S , mas <A> , mas agora eu sinto que ,mas,mas,a,m,atona,final,conjuncao,conjuncao,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:12.947,VeraS
A, é uma coisa que eu venho , desconstruindo <A> , <P> sabe D1 legal D1 ,desconstruindo,des-kOs-tRu-'I-do,e,k,atona,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:12.947,VeraS
P, uma coisa que eu venho desconstruindo , <A> <P> , sabe D1 legal D1 ce ,desconstruindo,des-kOs-tRu-'I-do,e,t,atona,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:12.947,VeraS
A, todo mundo em alagoas S em , campinas <A> , não mas eu tenho uma ,campinas,kA-'pi-nas,a,n,atona,final,substantivoProprio,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:35.800,VeraS
A, cá S não S ela veio , antes <A> , D1 ahn S e ela ,antes,'A-tes,e,#,atona,final,adverbio,adverbio,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:44.964,VeraS
P, S na época eu estava <E> , estudando <P> , ainda S e aí eu ,estudando,es-tu-'dA-do,e,t,atona,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:20:49.552,VeraS
A, aí eu tenho um ami S , amigos <A> , da época da graduação aqui ,amigos,a-'mi-gos,o,d,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:21:02.712,VeraS
A, D1 ah entendi S e aí , eles <A> , fizeram a proposta <A> de ,eles,'e-les,e,f,atona,final,pronome,pronome,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:21:07.101,VeraS
A, e aí eles <A> fizeram a , proposta <A> , de eu vir pra cá ,proposta,pRo-'pos-ta,c,t,tonica,medial,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:21:07.101,VeraS
A, quando você volta pra casa dos , seus <A> , pais <A> não mesma <A> ,seus,'sews,w,p,tonica,final,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:21:12.772,VeraS
A, volta pra casa dos seus <A> , pais <A> , não mesma <A> não é ,pais,'pajs,j,n,tonica,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:21:12.772,VeraS
A, dos seus <A> pais <A> não , mesma <A> , não é mais a mesma ,mesma,'mes-ma,e,m,tonica,medial,adjetivo,adjetivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:21:12.772,VeraS
A, mesma <A> não é mais a , mesma <A> , coisa S e também pelas ,mesma,'mes-ma,e,m,tonica,medial,adjetivo,adjetivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:21:12.772,VeraS
P, está gostando daqui S eu não , gosto <P> , de campinas eu gosto <P> ,gosto,'gos-to,c,t,tonica,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:21:25.434,VeraS
P, não gosto <P> de campinas eu , gosto <P> , do que dá pra fazer ,gosto,'gos-to,c,t,tonica,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:21:25.434,VeraS
A, sua irmã direto S vou uma , vez <A> , por mês <A> xxx D1 ,vez,'ves,e,p,tonica,final,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:21:32.376,VeraS
A, trabalha D1 aham S então ela , busca <A> , manter tipo as <P> duas ,busca,'bus-ka,u,k,tonica,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:23:07.854,VeraS
P, então ela busca <A> manter tipo , as <P> , duas <A> coisas <A> S ,as,as,a,d,atona,final,artigo,artigo,gramatical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:23:07.854,VeraS
A, busca <A> manter tipo as <P> , duas <A> , coisas <A> S e é ,duas,'du-as,a,k,atona,final,numeral,numeral,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:23:07.854,VeraS
A, manter tipo as <P> duas <A> , coisas <A> , S e é muito também ,coisas,'koj-zas,a,#,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:23:07.854,VeraS
A, eu acho que é S colonial , mesmo <A> , colonizadora aí nos ofertam uma ,mesmo,'mes-mo,e,m,tonica,medial,adjetivo,adjetivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:23:17.672,VeraS
A, ofertam uma coisa assim S dentre , duas <A> , coisas sempre sabe S seja ,duas,'du-as,a,k,atona,final,numeral,numeral,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:23:22.079,VeraS
P, ou você trabalha S ou você , estuda <P> , ou você trabalha S é ,estuda,es-'tu-da,e,t,atona,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:23:31.170,VeraS
A, fo S o a vida fosse , dois <A> , caminhos só ou uma coisa ,dois,'dojs,j,k,tonica,final,numeral,numeral,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:23:37.574,VeraS
P, S quando na verdade não tipo , existem <P> , diversas <A> S possibilidades <A> ,existem,e-'zis-tE,i,t,tonica,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:23:41.656,VeraS
A, na verdade não tipo existem <P> , diversas <A> , S possibilidades <A> né tipo ,diversas,di-'ver-sas,a,#,atona,final,adjetivo,adjetivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:23:41.656,VeraS
A, tipo existem <P> diversas <A> S , possibilidades <A> , né tipo existem <P> vários ,possibilidades,po-si-bi-li-'da-des,e,n,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:23:44.343,VeraS
P, <A> S possibilidades <A> né tipo , existem <P> , vários <A> caminhos <A> D1 ,existem,e-'zis-tE,i,t,tonica,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:23:44.343,VeraS
A, possibilidades <A> né tipo existem <P> , vários <A> , caminhos <A> D1 e na ,vários,'va-Rios,w,k,atona,final,adjetivo,adjetivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:23:44.343,VeraS
A, né tipo existem <P> vários <A> , caminhos <A> , D1 e na sua família ,caminhos,ka-'mi-Nos,o,#,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:23:44.343,VeraS
P, ele não ajuda e nem era , estimulado <P> , a isso D1 aham D1 ,estimulado,es-ti-mu-'la-do,e,t,atona,medial,adjetivo,adjetivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:23:58.663,VeraS
A, trabalhava com o que S na , construção <A> , civil S ele era pedreiro ,construção,kOs-tRu-'sAw,O,t,atona,medial,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:24:26.142,VeraS
A, mulher sair pra trabalhar S de , boas <A> , desde <P> desde <P> que ,boas,'bo-as,a,d,atona,final,adjetivo,adjetivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:24:43.458,VeraS
P, pra trabalhar S de boas <A> , desde <P> , desde <P> que seja um ,desde,'des-de,e,d,tonica,medial,preposicao,conjuncao,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:24:43.458,VeraS
P, S de boas <A> desde <P> , desde <P> , que seja um acordo entre ,desde,'des-de,e,d,tonica,medial,preposicao,conjuncao,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:24:43.458,VeraS
P, <P> que seja um acordo entre , as <P> , duas <A> pessoas <A> D1 ,as,as,a,d,atona,final,artigo,artigo,gramatical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:24:43.458,VeraS
A, seja um acordo entre as <P> , duas <A> , pessoas <A> D1 entendi D1 ,duas,'du-as,a,p,atona,final,numeral,numeral,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:24:43.458,VeraS
A, acordo entre as <P> duas <A> , pessoas <A> , D1 entendi D1 que legal ,pessoas,pe-'so-as,a,#,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:24:43.458,VeraS
P, trabalho S olha S eu já , gostei <P> , mais <A> S eu acho ,gostei,gos-'tej,o,t,atona,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:25:05.757,VeraS
A, olha S eu já gostei <P> , mais <A> , S eu acho que tem ,mais,'majs,j,#,tonica,final,adverbio,adverbio,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:25:05.757,VeraS
P, mas eu estou <E> cansada da , assistência <P> , S então é um trabalho ,assistência,a-sis-'tE-sia,i,t,atona,medial,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:25:15.105,VeraS
A, então é um trabalho S que , às <A> , vezes é enxugar gelo e ,às,'as,a,v,tonica,final,prepArtigo,artigo,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:25:19.582,VeraS
A, vezes é enxugar gelo e tudo , mais <A> , S e S no meu ,mais,'majs,j,#,tonica,final,adverbio,adverbio,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:25:19.582,VeraS
A, meio que eu nao me sinto , mais <A> , desafiada tem dois anos <A> ,mais,'majs,j,d,tonica,final,adverbio,adverbio,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:25:24.939,VeraS
A, sinto mais <A> desafiada tem dois , anos <A> , que eu to lá S ,anos,'a-nos,o,k,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:25:24.939,VeraS
P, já conhecesse S a rotina da , instituição <P> , S e existem <P> coisas ,instituição,Is-ti-tuj-'sAw,I,t,atona,medial,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:25:31.054,VeraS
P, rotina da instituição <P> S e , existem <P> , coisas <A> que são institucionais ,existem,e-'zis-tE,i,t,tonica,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:25:32.905,VeraS
A, instituição <P> S e existem <P> , coisas <A> , que são institucionais <D> <A> ,coisas,'koj-zas,a,k,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:25:32.905,VeraS
D, existem <P> coisas <A> que são , institucionais <D> , <A> S e aí você ,institucionais,Is-ti-tu-si-o-'najs,I,t,atona,medial,adjetivo,adjetivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:25:32.905,VeraS
A, <P> coisas <A> que são institucionais , <D> <A> , S e aí você vai ,institucionais,Is-ti-tu-si-o-'najs,j,#,tonica,final,adjetivo,adjetivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:25:32.905,VeraS
A, e você vai percebendo que tem , coisas <A> , que S só mudam se ,coisas,'koj-zas,a,k,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:25:39.475,VeraS
P, <A> que S só mudam se , existem <P> , tipo se as <A> pessoas ,existem,e-'zis-tE,i,t,tonica,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:25:42.768,VeraS
A, mudam se existem <P> tipo se , as <A> , pessoas <A> que estão <P> ,as,as,a,p,atona,final,artigo,artigo,gramatical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:25:42.768,VeraS
A, existem <P> tipo se as <A> , pessoas <A> , que estão <P> no cargo ,pessoas,pe-'so-as,a,k,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:25:42.768,VeraS
P, se as <A> pessoas <A> que , estão <P> , no cargo de gestão <P> ,estão,es-'tAw,e,t,atona,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:25:42.768,VeraS
P, que estão <P> no cargo de , gestão <P> , estão <P> dispostas <A> <P> ,gestão,Zes-'tAw,e,t,atona,medial,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:25:42.768,VeraS
P, <P> no cargo de gestão <P> , estão <P> , dispostas <A> <P> <A> a ,estão,es-'tAw,e,t,atona,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:25:42.768,VeraS
A, cargo de gestão <P> estão <P> , dispostas <A> , <P> <A> a mudar também ,dispostas,dis-'pos-tas,I,p,atona,medial,adjetivo,adjetivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:25:42.768,VeraS
P, de gestão <P> estão <P> dispostas , <A> <P> , <A> a mudar também a ,dispostas,dis-'pos-tas,c,t,atona,final,adjetivo,adjetivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:25:42.768,VeraS
A, gestão <P> estão <P> dispostas <A> , <P> <A> , a mudar também a ouvir ,dispostas,,c,t,atona,medial,adjetivo,adjetivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:25:42.768,VeraS
A, encaminhado pra deixar de ser clt , mesmo <A> , e eu quero apostar <P> ,mesmo,'mes-mo,e,m,tonica,medial,adjetivo,adjetivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:25:53.169,VeraS
P, clt mesmo <A> e eu quero , apostar <P> , tipo em fazer atendimentos <A> ,apostar,a-pos-'tar,o,t,atona,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:25:53.169,VeraS
A, quero apostar <P> tipo em fazer , atendimentos <A> , clínicos <A> trabalhar como autônoma ,atendimentos,a-tE-di-'mE-tos,o,k,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:25:53.169,VeraS
A, <P> tipo em fazer atendimentos <A> , clínicos <A> , trabalhar como autônoma S e ,clínicos,'kli-ni-kos,o,t,atona,final,adjetivo,adjetivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:25:53.169,VeraS
A, me dedicar S mais a minha , pesquisa <A> , S e também eu estou ,pesquisa,pes-'ki-za,e,k,atona,medial,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:26:02.992,VeraS
A, no horário S num dava pra , esperar <A> , o ôninus sair do trabalho ,esperar,es-pe-'Rar,e,p,atona,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:26:22.107,VeraS
A, S muito atrasada S e aí , às <A> , vezes eu pegava uber moto ,às,'as,a,v,tonica,final,prepArtigo,artigo,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:26:28.721,VeraS
A, afim também de me colocar em , risco <A> , de S fazer toda essa ,risco,'his-ko,i,k,tonica,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:26:34.825,VeraS
A, no nossa S é umas aqui , umas <A> , nas <A> pernas enfim mas ,umas,'u-mas,a,n,atona,final,adjetivo,adjetivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:26:46.656,VeraS
A, S é umas aqui umas <A> , nas <A> , pernas enfim mas <A> S ,nas,nas,a,p,atona,final,prepArtigo,artigo,gramatical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:26:46.656,VeraS
A, umas <A> nas <A> pernas enfim , mas <A> , S eu fiquei pensei será ,mas,mas,a,#,atona,final,conjuncao,conjuncao,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:26:46.656,VeraS
A, S eu fiquei pensei será que , as <A> , coisas <A> precisam ser S ,as,as,a,k,atona,final,artigo,artigo,gramatical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:26:49.198,VeraS
A, fiquei pensei será que as <A> , coisas <A> , precisam ser S tão assim ,coisas,'koj-zas,a,p,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:26:49.198,VeraS
P, assim sabe S tão S a , custo <P> , do que D1 aham S ,custo,'kus-to,u,t,tonica,medial,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:26:53.445,VeraS
A, querendo fazer mil co S tem , muitas <A> , coisas <A> pra se fazer ,muitas,'mujtas,a,k,tonica,final,adjetivo,adjetivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:27:06.128,VeraS
A, mil co S tem muias <A> , coisas <A> , pra se fazer aqui nessas ,coisas,'koj-zas,a,p,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:27:06.128,VeraS
A, coisas <A> pra se fazer aqui , nessas <A> , S e aí eu acho ,nessas,'ne-sas,a,#,atona,final,pronome,pronome,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:27:06.128,VeraS
A, é olhar pro que é importante , mesmo <A> , S pro pro que é ,mesmo,'mes-mo,e,m,tonica,medial,adjetivo,adjetivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:27:09.312,VeraS
A, prioridade S e no momento a , pesquisa <A> , tem feito mais sentido S ,pesquisa,pes-'ki-za,e,k,atona,medial,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:27:14.109,VeraS
A, <E> lá S na ba S , faz <A> , dois anos <D> vai fazer ,faz,'fas,a,d,tonica,final,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:27:39.667,VeraS
D, na ba S faz <A> dois , anos <D> , vai fazer dois anos em ,anos,'a-nos,o,v,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:27:39.667,VeraS
P, S maior tipo agora S eu , cons <P> , participei da construção <P> de ,cons,'kOs,O,p,tonica,final,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:27:47.647,VeraS
P, S eu cons <P> participei da , construção <P> , de um plano de trabalho ,construção,kOs-tRu-'sAw,O,t,atona,medial,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:27:47.647,VeraS
A, então eu sinto que S que , eles <A> , confiam sabe no meu trabalho ,eles,'e-les,e,k,atona,final,pronome,pronome,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:27:53.484,VeraS
A, trabalhei como psicóloga S em um , cras <A> , S e aí D1 e ,cras,'kRas,a,#,tonica,final,substantivo,substantivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:28:05.638,VeraS
A, sonhos assim S uhn S eu , escolheria <A> , psicologia de novo D1 que ,escolheria,es-ko-Le-'Ria,e,k,atona,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:28:48.773,VeraS
A, eu reformaria tipo a casa que , os <A> , meus <A> pais estão <E> ,os,os,o,m,atona,final,artigo,artigo,gramatical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:29:07.576,VeraS
A, tipo a casa que os <A> , meus <A> , pais estão <E> hoje S ,meus,'mews,w,p,tonica,final,pronome,pronome,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:29:07.576,VeraS
A, hoje S e cuidaria melhor porque , os <A> , meus <A> pais <A> estão ,os,os,o,m,atona,final,artigo,artigo,gramatical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:29:11.582,VeraS
A, e cuidaria melhor porque os <A> , meus <A> , pais <A> estão <E> envelhecendo ,meus,'mews,w,p,tonica,final,pronome,pronome,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:29:11.582,VeraS
A, cuidar melhor desse processo de envelhecimento , deles <A> , mesmo <A> sabe S ajudaria ,deles,'de-les,e,m,atona,final,pronome,pronome,gramatical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:29:14.315,VeraS
A, desse processo de envelhecimento deles <A> , mesmo <A> , sabe S ajudaria a minha ,mesmo,'mes-mo,e,m,tonica,medial,adjetivo,adjetivo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:29:14.315,VeraS
A, morar num lugar melhor e tudo , mais <A> , meu irmão também meu S ,mais,'majs,j,m,tonica,final,adverbio,adverbio,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:29:22.052,VeraS
A, meu irmão também meu S meus , irmãos <A> , de modo geral S e ,irmãos,ir-'mAws,W,d,tonica,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:29:25.252,VeraS
P, no seu tempo de S eu , gosto <P> , de ir pro sesc S ,gosto,'gos-to,c,t,tonica,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:30:01.514,VeraS
A, <P> de ir pro sesc S , nas <A> , vezes <A> tem apresenta S ,nas,nas,a,v,atona,final,prepArtigo,artigo,gramatical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:30:03.278,VeraS
A, ir pro sesc S nas <A> , vezes <A> , tem apresenta S apresentações <A> ,vezes,'ve-zes,e,t,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:30:03.278,VeraS
A, <A> vezes <A> tem apresenta S , apresentações <A> , lá de coisas ou tipo ,apresentações,a-pRe-zE-ta-'sOjs,J,l,tonica,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:30:04.776,VeraS
A, ou só comer no sesc S , cafeterias <A> , livrarias <A> S sabe S ,cafeterias,ka-fe-te-'Rias,a,l,tonica,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:30:11.422,VeraS
A, comer no sesc S cafeterias <A> , livrarias <A> , S sabe S eu a ,livrarias,li-vRa-'Rias,a,#,tonica,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:30:11.422,VeraS
P, S sabe S eu a eu , gosto <P> , S xxx D1 você fala ,gosto,'gos-to,c,t,tonica,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:30:14.393,VeraS
A, S eu vejo muitos <A> xxx , desliga <A> , D1 e boas opções seriam ,desliga,des-'li-ga,e,l,atona,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:30:25.172,VeraS
P, ah eu acho que S eu , gosto <P> , mais <A> disso do se ,gosto,'gos-to,c,t,tonica,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:30:39.229,VeraS
A, acho que S eu gosto <P> , mais <A> , disso do se eh do ,mais,'majs,j,d,tonica,final,adverbio,adverbio,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:30:39.229,VeraS
A, D1 do sesc S de ter , espaços <A> , <A> também sempre espaços <A> ,espaços,es-'pa-sos,e,p,atona,medial,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:30:42.672,VeraS
A, do sesc S de ter espaços , <A> <A> , também sempre espaços <A> <D> ,espaços,es-'pa-sos,u,t,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:30:42.672,VeraS
A, ter espaços <A> <A> também sempre , espaços <A> , <D> novos <A> pra você ,espaços,es-'pa-sos,e,p,atona,medial,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:30:42.672,VeraS
D, espaços <A> <A> também sempre espaços , <A> <D> , novos <A> pra você conhcer ,espaços,es-'pa-sos,u,n,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:30:42.672,VeraS
A, <A> também sempre espaços <A> <D> , novos <A> , pra você conhcer D1 uhum ,novos,'no-vos,o,p,atona,final,adjetivo,adjetivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:30:42.672,VeraS
A, a cidade ela não não se , esgota <A> , S sempre tem algo novo ,esgota,es-'go-ta,e,g,atona,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:30:48.355,VeraS
A, eu dançava S eu fazia danças , afros <A> , S e é a única ,afros,'a-fRos,o,#,atona,final,adjetivo,adjetivo,lexical,morfPluralNom,sim,ALCP_2025FC-_VeraS_codificada,2025,00:31:03.851,VeraS
A, é a única coisa que eu , gosto <A> , assim é dançar D1 que ,gosto,'gos-to,c,t,tonica,medial,verbo,verbo,lexical,raiz,nao,ALCP_2025FC-_VeraS_codificada,2025,00:31:05.663,VeraS
