VD,CONT_PREC,OCORRENCIA,CONT_SEGUINTE,ITEM_LEXICAL,TRANSC_FONOLOGICA_SILAC,CONT_FON_PREC,CONT_FON_SEG,TONICIDADE,POSICAO_S,CLASSE_MORFOLOGICA,CLASSE_MORFOLOGICA2,CLASSE_MORFOLOGICA3,STATUS_MORFOLOGICO,MORFEMA.PLURAL,ARQUIVO,ANO.ENTREVISTA,LOCALIZACAO,PARTICIPANTE
A, no mundo real seriam caras <P> , demais <A> , D1 uhn S demais <H> ,demais,de-'majs,j,#,tonica,final,adverbio,adverbio,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:28:30.338,ArmandoG
H, <P> demais <A> D1 uhn S , demais <H> , demais <A> da ordem de ,demais,de-'majs,j,d,tonica,final,adverbio,adverbio,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:28:36.919,ArmandoG
A, <A> D1 uhn S demais <H> , demais <A> , da ordem de muitos <A> ,demais,de-'majs,j,d,tonica,final,adverbio,adverbio,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:28:36.919,ArmandoG
A, <H> demais <A> da ordem de , muitos <A> , milhões <A> D1 nossa S ,muitos,'muj-tos,o,m,atona,final,adjetivo,adjetivo,lexical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:28:36.919,ArmandoG
A, <A> da ordem de muitos <A> , milhões <A> , D1 nossa S isso então ,milhões,mi-'LOjs,J,#,tonica,final,substantivo,substantivo,lexical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:28:36.919,ArmandoG
A, isso então a gente S cria , os <A> , modelos <A> pra ter uma ,os,os,o,m,atona,final,artigo,artigo,gramatical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:28:41.480,ArmandoG
A, a gente S cria os <A> , modelos <A> , pra ter uma ideia de ,modelos,mo-'de-los,o,p,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:28:41.480,ArmandoG
P, ao mundo real S e não , gastar <P> , S essa quantidade de recurso ,gastar,gas-'tar,a,t,atona,medial,verbo,verbo,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:28:47.611,ArmandoG
A, trabalho meu trabalho não tem muitas , exigências <A> , D1 uhn S meu trabalho ,exigências,e-zi-'ZE-sias,a,#,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:29:02.882,ArmandoG
A, que eh gerar resultado S fazer , publicações <A> , na verdade hoje na verdade ,publicações,pu-bli-ka-'sOjs,j,n,tonica,final,substantivo,substantivo,lexical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:29:11.205,ArmandoG
