"","VD","CONT_PREC","OCORRENCIA","CONT_SEGUINTE","ITEM_LEXICAL","TRANSC_FONOLOGICA_SILAC","CONT_FON_PREC","CFP_abertura","CFP_anterioridade","CFP_tracoposicao1","CFP_tracoposicao2","CONT_FON_SEG","CFS_pontoc","CFS_sonor","TONICIDADE","POSICAO_S","CLASSE_MORFOLOGICA","CLASSE_MORFOLOGICA2","CLASSE_MORFOLOGICA3","MORFEMA.PLURAL","MORFEMA.PLURAL2","MUDANCA.SENTIDO","ESTILO","ARQUIVO.x","ANO.ENTREVISTA","LOCALIZACAO","PARTICIPANTE","STATUS_MORFOLOGICO","ARQUIVO.y","PERFIL","ESTADO","AMOSTRA","GENERO","IDADE","FAIXA_ETARIA","ESCOLARIDADE","ESCOLARIDADE2","INDICE_ESCOL_OUSHIRO","INDICE_ESCOL3","OCUPACAO","INDICE_OCUPACAO","TRABALHO.OUTROCARGO","INDICE_OUTRO_CARGO","INDICE_OUTRO_CARGO2","TRABALHO.SONHO","INDICE_OCUPACAO_SONHOS","INDICE_OCUPACAO_SONHOS2","OCUPACAO_LOCOMOCAO","OCUPACAO_LOCOMOCAO2","INDICE_LOCOMOCAO","OCUPACAO_DIST","MEGA_SENA","MEGA_SENA2","INDICE_MEGA","MEGASENA_TRABALHAR","MEGASENA_TRABALHAR2","INDICE_MEGA_TRABALHO","LAZER_CARACTERISTICA","INDICE_LAZER","LAZER_CAMPINAS_CARACTERISTICA","INDICE_LAZER_CAMPINAS","VIAGEM","INDICE_VIAGEM","VIAGEM_LUGAR","INDICE_VIAGEM_LUGAR","LAZER_VIAGEM_VONTADE2","INDICE_VIAGEM_VONTADE","BAIRRO_REGIAO","BAIRRO_REGIAO2","INDICE_BAIRRO","BAIRRO","CIDADE_RES","INFANCIA_MEMORIA","INDICE_INFANCIA","INDICE_SOCIO_OUSHIRO","CLASSE_SOCIAL","CLASSE_SOCIAL_BC","CLASSE_SOCIAL_BCC","IDADE_MIGRACAO","IDADE_MIGRACAO_fat","TEMPO_RESIDENCIA","TEMPO_RESIDENCIA_fat","PROP_VIDA_SP","PROP_VIDA_SP2","CID_ORIGEM","CID_RESIDENCIA","MOTIVO","AMIGOS","VIZINHOS","COLEGAS_ESTADO","COLEGAS_NE","COMIDA","MUSICA","CONVERSA","VOLTA","ONDE_MORARIA","ESTADUALIDADE","PAULISTIDADE","NORDESTINIDADE","DIF_SP","DIF_NE","DIF_FALAR","IMOVEL","INDICE_IMOVEL","PROPRIEDADE","NQUARTOS","NBANHEIROS","NCOMODOS","NPESSOAS","DENSIDADE_HABITACAO","NRENDA","RENDA_IND","INDICE_RENDA_IND","RENDA_FAM","INDICE_RENDA_FAM","ESCOLA_PAI","ESCOLA_PAI2","INDICE_ESCOL_PAI_OUSHIRO","INDICE_ESCOL_PAI","OCUPACAO_PAI","INDICE_OCUPACAO_PAI","ESCOLA_MAE","ESCOLA_MAE2","INDICE_ESCOL_MAE_OUSHIRO","INDICE_ESCOL_MAE","OCUPACAO_MAE","INDICE_OCUPACAO_MAE","OCUPACAO_AMIGO1","AMIGO1_CLASSIFICACAO","OCUPACAO_AMIGO2","AMIGO2_CLASSIFICACAO","OCUPACAO_AMIGO3","AMIGO3_CLASSIFICACAO","OCUPACAO_AMIGO4","AMIGO4_CLASSIFICACAO","OCUPACAO_AMIGO5","AMIGO5_CLASSIFICACAO","DOCUMENTADOR","INDICE_REDE_EST","INDICE_REDE_NE","INDICE_HABITOS","CLASSE_AUTODECLARADA","SAUDE","INDICE_ESCOL3_norm","INDICE_OCUPACAO_norm","INDICE_OUTRO_CARGO2_norm","INDICE_OCUPACAO_SONHOS2_norm","INDICE_LOCOMOCAO_norm","INDICE_MEGA_norm","INDICE_LAZER_norm","INDICE_LAZER_CAMPINAS_norm","INDICE_VIAGEM_norm","INDICE_VIAGEM_LUGAR_norm","INDICE_VIAGEM_VONTADE_norm","INDICE_BAIRRO_norm","INDICE_INFANCIA_norm","INDICE_RENDA_IND_norm","INDICE_RENDA_FAM_norm","INDICE_ESCOL_PAI_norm","INDICE_OCUPACAO_PAI_norm","INDICE_ESCOL_MAE_norm","INDICE_OCUPACAO_MAE_norm","DENSIDADE_HABITACAO_norm","INDICE_IMOVEL_norm","media_m2","PAIS","LAZER","VIAGEM2","INDICE_SOCIO_POLI","CFP_abertura2","CFS_pontoc2","CFS_sonoridade"
"5824","A","e o | S as <A>","pessoas <A>","do Rio Grande do Sul","pessoas","pe-'so-a$","a","aberta","central","menos.anterior","menos.posterior","d","coronal","sonora","atona","final","substantivo","substantivo","lexical","sim","sim","nao","conversa","PBCP_2018FA+_RitaS",2018,"00:39:16.664","RitaS",NA,"PBCP_2018FA+_RitaS","FA+","PB","amostra2","feminino",40,"2a.3a","medio","medio","3.5",6,"Administradora (trabalha em casa)",3,"nao","sem.perspec",0,"cuidadora","prof.intermediaria",1,"carro","próprio",1,"perto","voltar.estado","voltar.estado",1,NA,NA,NA,"custo",2,"nsai.ntem",0,"sim",1,"nacional",2,"nacional",1,"periferia.norte","periferia",0,"João Aranha","Paulínia","positiva",2,2.25,"C2","baixa","media",9,"19-",29,"10+","73","maismetade","Soledade","Paulinia","familia","metade","nao","nao","nao","1xsemana","sempre","1xsemana","nunca","outro",7,7,7,"10","8","6","casa",1,"proprio","3+","2","4","2",0.5,1,"1a2SM",1,"1a2SM",1,NA,NA,NA,NA,"Aposentado",NA,NA,NA,NA,NA,"Donadecasa",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",6,6,6,NA,NA,3.33333333333333,2.5,0,2.5,5,1.66666666666667,5,0,5,3.33333333333333,2.5,0,5,1.25,1,NA,NA,NA,"0",1,2.5,2672.33,NA,2.5,3.61111111111111,2.8,"aberta","coronal","sonora"
"5825","A","no nosso é/ eh as <A>","pessoas <A>","tiram sarro por preconceito não","pessoas","pe-'so-a$","a","aberta","central","menos.anterior","menos.posterior","t","coronal","surda","atona","final","substantivo","substantivo","lexical","sim","sim","nao","conversa","PBCP_2018FA+_RitaS",2018,"00:39:18.233","RitaS",NA,"PBCP_2018FA+_RitaS","FA+","PB","amostra2","feminino",40,"2a.3a","medio","medio","3.5",6,"Administradora (trabalha em casa)",3,"nao","sem.perspec",0,"cuidadora","prof.intermediaria",1,"carro","próprio",1,"perto","voltar.estado","voltar.estado",1,NA,NA,NA,"custo",2,"nsai.ntem",0,"sim",1,"nacional",2,"nacional",1,"periferia.norte","periferia",0,"João Aranha","Paulínia","positiva",2,2.25,"C2","baixa","media",9,"19-",29,"10+","73","maismetade","Soledade","Paulinia","familia","metade","nao","nao","nao","1xsemana","sempre","1xsemana","nunca","outro",7,7,7,"10","8","6","casa",1,"proprio","3+","2","4","2",0.5,1,"1a2SM",1,"1a2SM",1,NA,NA,NA,NA,"Aposentado",NA,NA,NA,NA,NA,"Donadecasa",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",6,6,6,NA,NA,3.33333333333333,2.5,0,2.5,5,1.66666666666667,5,0,5,3.33333333333333,2.5,0,5,1.25,1,NA,NA,NA,"0",1,2.5,2672.33,NA,2.5,3.61111111111111,2.8,"aberta","coronal","surda"
"5826","A","qualquer pessoa | S as <A>","pessoas <A>","tem preconceito | D1 em","pessoas","pe-'so-a$","a","aberta","central","menos.anterior","menos.posterior","t","coronal","surda","atona","final","substantivo","substantivo","lexical","sim","sim","nao","conversa","PBCP_2018FA+_RitaS",2018,"00:39:18.233","RitaS",NA,"PBCP_2018FA+_RitaS","FA+","PB","amostra2","feminino",40,"2a.3a","medio","medio","3.5",6,"Administradora (trabalha em casa)",3,"nao","sem.perspec",0,"cuidadora","prof.intermediaria",1,"carro","próprio",1,"perto","voltar.estado","voltar.estado",1,NA,NA,NA,"custo",2,"nsai.ntem",0,"sim",1,"nacional",2,"nacional",1,"periferia.norte","periferia",0,"João Aranha","Paulínia","positiva",2,2.25,"C2","baixa","media",9,"19-",29,"10+","73","maismetade","Soledade","Paulinia","familia","metade","nao","nao","nao","1xsemana","sempre","1xsemana","nunca","outro",7,7,7,"10","8","6","casa",1,"proprio","3+","2","4","2",0.5,1,"1a2SM",1,"1a2SM",1,NA,NA,NA,NA,"Aposentado",NA,NA,NA,NA,NA,"Donadecasa",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",6,6,6,NA,NA,3.33333333333333,2.5,0,2.5,5,1.66666666666667,5,0,5,3.33333333333333,2.5,0,5,1.25,1,NA,NA,NA,"0",1,2.5,2672.33,NA,2.5,3.61111111111111,2.8,"aberta","coronal","surda"
"5827","A","os <A> que/ assim as <A>","pessoas <A>","que eu vejo assim |","pessoas","pe-'so-a$","a","aberta","central","menos.anterior","menos.posterior","k","dorsal.labial","surda","atona","final","substantivo","substantivo","lexical","sim","sim","nao","conversa","PBCP_2018FA+_RitaS",2018,"00:39:20.319","RitaS",NA,"PBCP_2018FA+_RitaS","FA+","PB","amostra2","feminino",40,"2a.3a","medio","medio","3.5",6,"Administradora (trabalha em casa)",3,"nao","sem.perspec",0,"cuidadora","prof.intermediaria",1,"carro","próprio",1,"perto","voltar.estado","voltar.estado",1,NA,NA,NA,"custo",2,"nsai.ntem",0,"sim",1,"nacional",2,"nacional",1,"periferia.norte","periferia",0,"João Aranha","Paulínia","positiva",2,2.25,"C2","baixa","media",9,"19-",29,"10+","73","maismetade","Soledade","Paulinia","familia","metade","nao","nao","nao","1xsemana","sempre","1xsemana","nunca","outro",7,7,7,"10","8","6","casa",1,"proprio","3+","2","4","2",0.5,1,"1a2SM",1,"1a2SM",1,NA,NA,NA,NA,"Aposentado",NA,NA,NA,NA,NA,"Donadecasa",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",6,6,6,NA,NA,3.33333333333333,2.5,0,2.5,5,1.66666666666667,5,0,5,3.33333333333333,2.5,0,5,1.25,1,NA,NA,NA,"0",1,2.5,2672.33,NA,2.5,3.61111111111111,2.8,"aberta","dorsal","surda"
"5828","A","passear você vê que as <A>","pessoas <A>","moram | S em lugares/","pessoas","pe-'so-a$","a","aberta","central","menos.anterior","menos.posterior","m","dorsal.labial","sonora","atona","final","substantivo","substantivo","lexical","sim","sim","nao","conversa","PBCP_2018FA+_RitaS",2018,"00:39:30.354","RitaS",NA,"PBCP_2018FA+_RitaS","FA+","PB","amostra2","feminino",40,"2a.3a","medio","medio","3.5",6,"Administradora (trabalha em casa)",3,"nao","sem.perspec",0,"cuidadora","prof.intermediaria",1,"carro","próprio",1,"perto","voltar.estado","voltar.estado",1,NA,NA,NA,"custo",2,"nsai.ntem",0,"sim",1,"nacional",2,"nacional",1,"periferia.norte","periferia",0,"João Aranha","Paulínia","positiva",2,2.25,"C2","baixa","media",9,"19-",29,"10+","73","maismetade","Soledade","Paulinia","familia","metade","nao","nao","nao","1xsemana","sempre","1xsemana","nunca","outro",7,7,7,"10","8","6","casa",1,"proprio","3+","2","4","2",0.5,1,"1a2SM",1,"1a2SM",1,NA,NA,NA,NA,"Aposentado",NA,NA,NA,NA,NA,"Donadecasa",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Guirelli",6,6,6,NA,NA,3.33333333333333,2.5,0,2.5,5,1.66666666666667,5,0,5,3.33333333333333,2.5,0,5,1.25,1,NA,NA,NA,"0",1,2.5,2672.33,NA,2.5,3.61111111111111,2.8,"aberta","labial","sonora"
"5829","A","| S criando coisas <A> para","pessoas <A>","que têm problemas <A> para","pessoas","pe-'so-a$","a","aberta","central","menos.anterior","menos.posterior","k","dorsal.labial","surda","atona","final","substantivo","substantivo","lexical","sim","sim","nao","conversa","PBCP_2018FB-_LucianaB",2018,"00:39:30.354","LucianaB",NA,"PBCP_2018FB-_LucianaB","FB-","PB","amostra2","feminino",27,"1a","superior","superior","4",7,"Operadora de caixa",3,NA,NA,NA,"agroindústria","prof.especializacao",2,"onibus","publico",0,NA,"comprar casa","gastar",0,"trabalhar.empresa","trabalhar","1","sem.custo",1,"custo",2,"nao",0,"nacional",2,"nacional",1,"periferia.sul","periferia",0,"Jardim Yeda","Campinas","negativa",0,2.38,"C2","baixa","media",22,"20+",6,"9-","22","ate1quarto","Sousa","Campinas","familia","maioria","nao","varios","nao","1xmes","sempre","tododia","nunca","outro",10,8,10,"7","6","10","casa",1,"proprio","1","1","2","3",1.5,2,"1a2SM",1,"1a2SM",1,"analfabeto","analfabeto","0",0,"Agricultor",1,"analfabeto","analfabeto","0",0,"Agricultora",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marina Russo",11,11,6,NA,NA,3.88888888888889,2.5,NA,5,0,0,2.5,5,0,3.33333333333333,2.5,0,0,1.25,1,0,"1",0,"1",3,2.5,3952.3,0,3.75,1.94444444444444,2.04,"aberta","dorsal","surda"
"5830","A","alguma/ uma parte são as <A>","pessoas <A>","| S tem muitas <A>","pessoas","pe-'so-a$","a","aberta","central","menos.anterior","menos.posterior","#","#","#","atona","final","substantivo","substantivo","lexical","sim","sim","nao","conversa","PBCP_2018FB-_LucianaB",2018,"00:39:38.979","LucianaB",NA,"PBCP_2018FB-_LucianaB","FB-","PB","amostra2","feminino",27,"1a","superior","superior","4",7,"Operadora de caixa",3,NA,NA,NA,"agroindústria","prof.especializacao",2,"onibus","publico",0,NA,"comprar casa","gastar",0,"trabalhar.empresa","trabalhar","1","sem.custo",1,"custo",2,"nao",0,"nacional",2,"nacional",1,"periferia.sul","periferia",0,"Jardim Yeda","Campinas","negativa",0,2.38,"C2","baixa","media",22,"20+",6,"9-","22","ate1quarto","Sousa","Campinas","familia","maioria","nao","varios","nao","1xmes","sempre","tododia","nunca","outro",10,8,10,"7","6","10","casa",1,"proprio","1","1","2","3",1.5,2,"1a2SM",1,"1a2SM",1,"analfabeto","analfabeto","0",0,"Agricultor",1,"analfabeto","analfabeto","0",0,"Agricultora",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marina Russo",11,11,6,NA,NA,3.88888888888889,2.5,NA,5,0,0,2.5,5,0,3.33333333333333,2.5,0,0,1.25,1,0,"1",0,"1",3,2.5,3952.3,0,3.75,1.94444444444444,2.04,"aberta","pausa","pausa"
"5831","A","S eu acho que as <A>","pessoas <A>","| S algumas <P> pessoas","pessoas","pe-'so-a$","a","aberta","central","menos.anterior","menos.posterior","#","#","#","atona","final","substantivo","substantivo","lexical","sim","sim","nao","conversa","PBCP_2018FB-_LucianaB",2018,"00:40:34.621","LucianaB",NA,"PBCP_2018FB-_LucianaB","FB-","PB","amostra2","feminino",27,"1a","superior","superior","4",7,"Operadora de caixa",3,NA,NA,NA,"agroindústria","prof.especializacao",2,"onibus","publico",0,NA,"comprar casa","gastar",0,"trabalhar.empresa","trabalhar","1","sem.custo",1,"custo",2,"nao",0,"nacional",2,"nacional",1,"periferia.sul","periferia",0,"Jardim Yeda","Campinas","negativa",0,2.38,"C2","baixa","media",22,"20+",6,"9-","22","ate1quarto","Sousa","Campinas","familia","maioria","nao","varios","nao","1xmes","sempre","tododia","nunca","outro",10,8,10,"7","6","10","casa",1,"proprio","1","1","2","3",1.5,2,"1a2SM",1,"1a2SM",1,"analfabeto","analfabeto","0",0,"Agricultor",1,"analfabeto","analfabeto","0",0,"Agricultora",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marina Russo",11,11,6,NA,NA,3.88888888888889,2.5,NA,5,0,0,2.5,5,0,3.33333333333333,2.5,0,0,1.25,1,0,"1",0,"1",3,2.5,3952.3,0,3.75,1.94444444444444,2.04,"aberta","pausa","pausa"
"5832","A","pessoas <A> | S algumas <P>","pessoas <A>","demonstram <A> isso | S","pessoas","pe-'so-a$","a","aberta","central","menos.anterior","menos.posterior","d","coronal","sonora","atona","final","substantivo","substantivo","lexical","sim","sim","nao","conversa","PBCP_2018FB-_LucianaB",2018,"00:40:43.335","LucianaB",NA,"PBCP_2018FB-_LucianaB","FB-","PB","amostra2","feminino",27,"1a","superior","superior","4",7,"Operadora de caixa",3,NA,NA,NA,"agroindústria","prof.especializacao",2,"onibus","publico",0,NA,"comprar casa","gastar",0,"trabalhar.empresa","trabalhar","1","sem.custo",1,"custo",2,"nao",0,"nacional",2,"nacional",1,"periferia.sul","periferia",0,"Jardim Yeda","Campinas","negativa",0,2.38,"C2","baixa","media",22,"20+",6,"9-","22","ate1quarto","Sousa","Campinas","familia","maioria","nao","varios","nao","1xmes","sempre","tododia","nunca","outro",10,8,10,"7","6","10","casa",1,"proprio","1","1","2","3",1.5,2,"1a2SM",1,"1a2SM",1,"analfabeto","analfabeto","0",0,"Agricultor",1,"analfabeto","analfabeto","0",0,"Agricultora",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marina Russo",11,11,6,NA,NA,3.88888888888889,2.5,NA,5,0,0,2.5,5,0,3.33333333333333,2.5,0,0,1.25,1,0,"1",0,"1",3,2.5,3952.3,0,3.75,1.94444444444444,2.04,"aberta","coronal","sonora"
"5833","A","gosto <A> | S das <A>","pessoas <A>","| S do/ do |","pessoas","pe-'so-a$","a","aberta","central","menos.anterior","menos.posterior","#","#","#","atona","final","substantivo","substantivo","lexical","sim","sim","nao","conversa","PBCP_2018FB-_LucianaB",2018,"00:40:50.051","LucianaB",NA,"PBCP_2018FB-_LucianaB","FB-","PB","amostra2","feminino",27,"1a","superior","superior","4",7,"Operadora de caixa",3,NA,NA,NA,"agroindústria","prof.especializacao",2,"onibus","publico",0,NA,"comprar casa","gastar",0,"trabalhar.empresa","trabalhar","1","sem.custo",1,"custo",2,"nao",0,"nacional",2,"nacional",1,"periferia.sul","periferia",0,"Jardim Yeda","Campinas","negativa",0,2.38,"C2","baixa","media",22,"20+",6,"9-","22","ate1quarto","Sousa","Campinas","familia","maioria","nao","varios","nao","1xmes","sempre","tododia","nunca","outro",10,8,10,"7","6","10","casa",1,"proprio","1","1","2","3",1.5,2,"1a2SM",1,"1a2SM",1,"analfabeto","analfabeto","0",0,"Agricultor",1,"analfabeto","analfabeto","0",0,"Agricultora",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marina Russo",11,11,6,NA,NA,3.88888888888889,2.5,NA,5,0,0,2.5,5,0,3.33333333333333,2.5,0,0,1.25,1,0,"1",0,"1",3,2.5,3952.3,0,3.75,1.94444444444444,2.04,"aberta","pausa","pausa"
"5834","A","como paulistano <A> | S são","pessoas <A>","boas <A> | S essas","pessoas","pe-'so-a$","a","aberta","central","menos.anterior","menos.posterior","b","dorsal.labial","sonora","atona","final","substantivo","substantivo","lexical","sim","sim","nao","conversa","PBCP_2018FB-_LucianaB",2018,"00:41:09.434","LucianaB",NA,"PBCP_2018FB-_LucianaB","FB-","PB","amostra2","feminino",27,"1a","superior","superior","4",7,"Operadora de caixa",3,NA,NA,NA,"agroindústria","prof.especializacao",2,"onibus","publico",0,NA,"comprar casa","gastar",0,"trabalhar.empresa","trabalhar","1","sem.custo",1,"custo",2,"nao",0,"nacional",2,"nacional",1,"periferia.sul","periferia",0,"Jardim Yeda","Campinas","negativa",0,2.38,"C2","baixa","media",22,"20+",6,"9-","22","ate1quarto","Sousa","Campinas","familia","maioria","nao","varios","nao","1xmes","sempre","tododia","nunca","outro",10,8,10,"7","6","10","casa",1,"proprio","1","1","2","3",1.5,2,"1a2SM",1,"1a2SM",1,"analfabeto","analfabeto","0",0,"Agricultor",1,"analfabeto","analfabeto","0",0,"Agricultora",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marina Russo",11,11,6,NA,NA,3.88888888888889,2.5,NA,5,0,0,2.5,5,0,3.33333333333333,2.5,0,0,1.25,1,0,"1",0,"1",3,2.5,3952.3,0,3.75,1.94444444444444,2.04,"aberta","labial","sonora"
"5835","A","boas <A> | S essas <A>","pessoas <A>","que gostam <A> de comer","pessoas","pe-'so-a$","a","aberta","central","menos.anterior","menos.posterior","k","dorsal.labial","surda","atona","final","substantivo","substantivo","lexical","sim","sim","nao","conversa","PBCP_2018FB-_LucianaB",2018,"00:19:59.702","LucianaB",NA,"PBCP_2018FB-_LucianaB","FB-","PB","amostra2","feminino",27,"1a","superior","superior","4",7,"Operadora de caixa",3,NA,NA,NA,"agroindústria","prof.especializacao",2,"onibus","publico",0,NA,"comprar casa","gastar",0,"trabalhar.empresa","trabalhar","1","sem.custo",1,"custo",2,"nao",0,"nacional",2,"nacional",1,"periferia.sul","periferia",0,"Jardim Yeda","Campinas","negativa",0,2.38,"C2","baixa","media",22,"20+",6,"9-","22","ate1quarto","Sousa","Campinas","familia","maioria","nao","varios","nao","1xmes","sempre","tododia","nunca","outro",10,8,10,"7","6","10","casa",1,"proprio","1","1","2","3",1.5,2,"1a2SM",1,"1a2SM",1,"analfabeto","analfabeto","0",0,"Agricultor",1,"analfabeto","analfabeto","0",0,"Agricultora",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marina Russo",11,11,6,NA,NA,3.88888888888889,2.5,NA,5,0,0,2.5,5,0,3.33333333333333,2.5,0,0,1.25,1,0,"1",0,"1",3,2.5,3952.3,0,3.75,1.94444444444444,2.04,"aberta","dorsal","surda"
"5836","A","essa passagem | S quantas <A>","pessoas <A>","vai pro/ está <E> procurando","pessoas","pe-'so-a$","a","aberta","central","menos.anterior","menos.posterior","v","dorsal.labial","sonora","atona","final","substantivo","substantivo","lexical","sim","sim","nao","conversa","PBCP_2018FB-_LucianaB",2018,"00:20:04.203","LucianaB",NA,"PBCP_2018FB-_LucianaB","FB-","PB","amostra2","feminino",27,"1a","superior","superior","4",7,"Operadora de caixa",3,NA,NA,NA,"agroindústria","prof.especializacao",2,"onibus","publico",0,NA,"comprar casa","gastar",0,"trabalhar.empresa","trabalhar","1","sem.custo",1,"custo",2,"nao",0,"nacional",2,"nacional",1,"periferia.sul","periferia",0,"Jardim Yeda","Campinas","negativa",0,2.38,"C2","baixa","media",22,"20+",6,"9-","22","ate1quarto","Sousa","Campinas","familia","maioria","nao","varios","nao","1xmes","sempre","tododia","nunca","outro",10,8,10,"7","6","10","casa",1,"proprio","1","1","2","3",1.5,2,"1a2SM",1,"1a2SM",1,"analfabeto","analfabeto","0",0,"Agricultor",1,"analfabeto","analfabeto","0",0,"Agricultora",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marina Russo",11,11,6,NA,NA,3.88888888888889,2.5,NA,5,0,0,2.5,5,0,3.33333333333333,2.5,0,0,1.25,1,0,"1",0,"1",3,2.5,3952.3,0,3.75,1.94444444444444,2.04,"aberta","labial","sonora"
"5837","A","muito caro | S as <A>","pessoas <A>","não vão | S aí","pessoas","pe-'so-a$","a","aberta","central","menos.anterior","menos.posterior","n","coronal","sonora","atona","final","substantivo","substantivo","lexical","sim","sim","nao","conversa","PBCP_2018FB-_LucianaB",2018,"00:20:21.146","LucianaB",NA,"PBCP_2018FB-_LucianaB","FB-","PB","amostra2","feminino",27,"1a","superior","superior","4",7,"Operadora de caixa",3,NA,NA,NA,"agroindústria","prof.especializacao",2,"onibus","publico",0,NA,"comprar casa","gastar",0,"trabalhar.empresa","trabalhar","1","sem.custo",1,"custo",2,"nao",0,"nacional",2,"nacional",1,"periferia.sul","periferia",0,"Jardim Yeda","Campinas","negativa",0,2.38,"C2","baixa","media",22,"20+",6,"9-","22","ate1quarto","Sousa","Campinas","familia","maioria","nao","varios","nao","1xmes","sempre","tododia","nunca","outro",10,8,10,"7","6","10","casa",1,"proprio","1","1","2","3",1.5,2,"1a2SM",1,"1a2SM",1,"analfabeto","analfabeto","0",0,"Agricultor",1,"analfabeto","analfabeto","0",0,"Agricultora",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marina Russo",11,11,6,NA,NA,3.88888888888889,2.5,NA,5,0,0,2.5,5,0,3.33333333333333,2.5,0,0,1.25,1,0,"1",0,"1",3,2.5,3952.3,0,3.75,1.94444444444444,2.04,"aberta","coronal","sonora"
"5838","A","aí daí que surge as <A>","pessoas <A>","que não tem condições <A>","pessoas","pe-'so-a$","a","aberta","central","menos.anterior","menos.posterior","k","dorsal.labial","surda","atona","final","substantivo","substantivo","lexical","sim","sim","nao","conversa","PBCP_2018FB-_LucianaB",2018,"00:20:21.146","LucianaB",NA,"PBCP_2018FB-_LucianaB","FB-","PB","amostra2","feminino",27,"1a","superior","superior","4",7,"Operadora de caixa",3,NA,NA,NA,"agroindústria","prof.especializacao",2,"onibus","publico",0,NA,"comprar casa","gastar",0,"trabalhar.empresa","trabalhar","1","sem.custo",1,"custo",2,"nao",0,"nacional",2,"nacional",1,"periferia.sul","periferia",0,"Jardim Yeda","Campinas","negativa",0,2.38,"C2","baixa","media",22,"20+",6,"9-","22","ate1quarto","Sousa","Campinas","familia","maioria","nao","varios","nao","1xmes","sempre","tododia","nunca","outro",10,8,10,"7","6","10","casa",1,"proprio","1","1","2","3",1.5,2,"1a2SM",1,"1a2SM",1,"analfabeto","analfabeto","0",0,"Agricultor",1,"analfabeto","analfabeto","0",0,"Agricultora",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marina Russo",11,11,6,NA,NA,3.88888888888889,2.5,NA,5,0,0,2.5,5,0,3.33333333333333,2.5,0,0,1.25,1,0,"1",0,"1",3,2.5,3952.3,0,3.75,1.94444444444444,2.04,"aberta","dorsal","surda"
"5839","A","(xxx) que passa necessidade | S","pessoas <A>","que estão <E> pedindo |","pessoas","pe-'so-a$","a","aberta","central","menos.anterior","menos.posterior","k","dorsal.labial","surda","atona","final","substantivo","substantivo","lexical","sim","sim","nao","conversa","PBCP_2018FB-_LucianaB",2018,"00:20:23.774","LucianaB",NA,"PBCP_2018FB-_LucianaB","FB-","PB","amostra2","feminino",27,"1a","superior","superior","4",7,"Operadora de caixa",3,NA,NA,NA,"agroindústria","prof.especializacao",2,"onibus","publico",0,NA,"comprar casa","gastar",0,"trabalhar.empresa","trabalhar","1","sem.custo",1,"custo",2,"nao",0,"nacional",2,"nacional",1,"periferia.sul","periferia",0,"Jardim Yeda","Campinas","negativa",0,2.38,"C2","baixa","media",22,"20+",6,"9-","22","ate1quarto","Sousa","Campinas","familia","maioria","nao","varios","nao","1xmes","sempre","tododia","nunca","outro",10,8,10,"7","6","10","casa",1,"proprio","1","1","2","3",1.5,2,"1a2SM",1,"1a2SM",1,"analfabeto","analfabeto","0",0,"Agricultor",1,"analfabeto","analfabeto","0",0,"Agricultora",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marina Russo",11,11,6,NA,NA,3.88888888888889,2.5,NA,5,0,0,2.5,5,0,3.33333333333333,2.5,0,0,1.25,1,0,"1",0,"1",3,2.5,3952.3,0,3.75,1.94444444444444,2.04,"aberta","dorsal","surda"
